Id,Test 1,Test 2
1,35,41
2,60,45
3,73,77
4,54,46
5,83,68
6,75,35
7,81,73
8,88,58
9,71,71
10,77,41
11,63,19
12,77,44
13,61,64
14,84,79
15,53,61
16,36,25
17,54,52
18,78,71
19,86,73
20,86,59
21,72,46
22,66,46
23,67,70
24,58,51
25,27,39
26,94,71
27,62,52
28,77,63
29,71,60
30,32,54
31,96,88
32,66,40
33,63,44
34,85,60
35,51,40
36,70,75
37,56,47
38,68,53
39,82,54
40,77,59
41,61,51
42,79,82
43,40,47
44,77,61
45,45,41
46,74,28
47,71,49
48,69,45
49,85,86
50,57,78
51,80,73
52,78,70
53,78,78
54,80,39
55,100,60
56,60,52
57,76,40
58,40,43
59,91,62
60,74,58
61,87,73
62,81,54
63,96,73
64,91,61
65,75,43
66,65,70
67,63,41
68,60,52
69,83,72
70,40,32
71,85,44
72,72,42
73,62,37
74,44,49
75,86,66
76,81,70
77,74,66
78,50,58
79,96,78
80,57,54
81,65,62
82,47,48
83,81,62
84,65,50
85,32,49
86,75,60
87,57,66
88,75,52
89,68,40
90,81,34
91,59,50
92,72,61
93,68,51
94,61,52
95,84,72
96,49,51
97,40,50
98,64,77
99,61,32
100,80,71
101,93,78
102,80,51
103,58,38
104,47,51
105,52,43
106,74,53
107,43,36
108,51,25
109,68,70
110,36,45
111,84,64
112,54,48
113,61,49
114,59,54
115,57,42
116,55,64
117,73,35
118,86,71
119,75,60
120,59,56
121,75,63
122,52,62
123,69,70
124,67,37
125,89,70
126,68,54
127,76,62
128,64,42
129,78,73
130,75,73
131,83,80
132,57,68
133,65,27
134,51,50
135,87,68
136,59,46
137,82,70
138,67,55
139,70,66
140,61,52
141,40,62
142,,
143,64,72
144,28,51
145,55,72
146,43,46
147,70,76
148,45,47
149,79,74
150,82,89
151,74,61
152,53,52
153,56,74
154,82,76
155,69,57
156,90,50
157,46,40
158,72,61
159,44,58
160,,
161,59,33
162,55,82
163,81,86
164,95,55
165,81,84
166,78,58
167,61,47
168,64,29
169,82,55
170,82,34
171,58,58
172,80,28
173,43,45
174,63,50
175,69,36
176,65,18
177,67,30
178,86,66
179,58,33
180,86,57
181,60,27
182,87,68
183,63,21
184,70,32
185,54,23
186,65,18
187,65,40
188,81,43
189,44,21
190,89,57
191,64,22
192,61,12
193,38,50
194,73,57
195,83,54
196,97,77
197,69,66
198,82,79
199,77,86
200,91,63
201,74,25
202,54,49
203,68,26
204,78,48
205,63,35
206,50,18
207,63,51
208,67,17
209,73,64
210,89,63
211,79,75
212,71,28
213,72,36
214,94,31
215,94,68
216,78,25
217,81,33
218,95,63
219,91,91
220,58,58
221,84,77
222,69,34
223,88,69
224,75,89
225,93,
226,97,85
227,52,33
228,95,36
229,68,30
230,77,46
231,97,68
232,46,46
233,85,56
234,93,54
235,89,57
236,93,43
237,86,20
238,75,71
239,54,30
240,73,72
241,95,68
242,90,66
243,51,28
244,83,68
245,56,34
246,72,69
247,84,20
248,77,69
249,85,45
250,76,63
251,79,64
252,51,16
253,72,74
254,98,72
255,55,63
256,80,29
257,57,19
258,83,34
259,100,92
260,92,39
261,54,65
262,48,74
263,73,73
264,79,67
265,80,51
266,94,57
267,88,45
268,70,67
269,85,71
270,44,12
271,96,81
272,86,47
273,91,76
274,46,86
275,71,83
276,74,49
277,68,58
278,73,58
279,81,72
280,47,19
281,95,61
282,73,67
283,82,45
284,60,33
285,71,49
286,76,66
287,57,51
288,85,72
289,81,51
290,72,42
291,63,56
292,75,44
293,49,47
294,76,58
295,74,65
296,93,62
297,100,70
298,54,51
299,84,64
300,72,43
301,93,81
302,72,66
303,54,48
304,77,57
305,82,73
306,73,65
307,84,55
308,86,80
309,77,75
310,80,65
311,86,57
312,85,60
313,80,58
314,61,47
